"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","4.85627278676058","4.9002750024203","5.84137253475024","6.00324601631433","6.0198516554136","6.02529169006606","2.74543938471492","2.87854711609701","5.94546294646145","6.00400306272176","0.81037871475673","1.17450487005706","1.23536198822537","3.38004968118474","3.55668656942597","3.65242155805769","7.99372219633765","7.98180199619103","7.59631890100966","7.51649846205741","7.68549898578519","8.26142174287153","8.53765084301094","8.62327979375309","8.62622781758642","8.70920784606635","8.81447951258993","8.82787458990009","8.35920321938729","8.37546251023231","8.66441377952488","9.02589566911873","9.5300358401116","10.0844992741266","10.3905030579227","10.4180645231243","10.8633612808906","11.3263440665499","8.86738597220389","9.32446833468541","9.4398884699117","9.46233820460237","9.48080033327443","9.71697629402617","9.91282185604259","10.0366762047494","9.63418338393671","10.0260426053621","","","",
"Afghanistan","AFG","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.306012601818067","0.27714957256339","0.356414353561051","0.387893859396912","0.393379136257915","0.43755449144972","0.460996049984167","0.524734836954617","0.545330594402961","0.661979690032529","0.757056135563847","0.760283880560709","0.857237463729101","0.905249145190703","0.929913050687329","0.943409015123385","0.964733023082698","0.990269537101636","1.00204610099418","1.04124217051312","1.01676151884468","0.80589698069956","","","",
"Africa Western and Central","AFW","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","34.255309819265","33.5033035586766","30.5200264035851","29.4616846885116","29.64991242344","24.537079008507","22.4377911741694","21.8118105549268","22.544315864165","20.9872123279451","10.357040184257","8.72225320608462","7.40919869459183","6.4450517002735","6.1575977267649","7.29095660332165","7.54164958086789","16.4554982125669","15.9674410885716","15.3732309440233","15.4421682033279","14.9476685902809","14.6467470578348","13.765363484064","13.0927046462299","12.7631627856555","12.8037798649857","12.8633589427394","12.794114714011","12.5270496957412","12.5637994113787","12.7747666526634","13.6727050790009","14.214268218296","15.1225364924198","15.7301836601209","16.4079964233815","17.1554251361557","18.064741026629","19.0225903856611","20.1644058744497","21.0767240556646","22.0949169856915","23.3892883720883","24.7027359261569","25.0974958652214","25.0691376674523","25.7429273942888","25.2952700479437","25.9505478867368","25.6424787496898","26.7069146546654","","","",
"Angola","AGO","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.2400197920995","58.1910993453594","56.7920573411187","53.5241052566372","52.7947851934113","48.580145505232","36.1065452503092","35.793019876489","40.2843701955503","44.7857696391644","47.0611789175309","48.2815895599026","48.3656492585449","48.882722039005","49.9206712111733","55.6308411641599","56.1931375165435","61.1707222985258","69.0624815636999","77.0391981828425","87.8323898548887","97.6432677965983","98.4829999017511","102.814652472556","106.384431850315","115.471903930995","121.193089930451","127.037698523033","128.236390118458","124.927827591665","124.743917662433","123.101836521005","122.23732561279","115.34532273024","116.728555976423","","","",
"Albania","ALB","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.39930067146661","3.18924861861062","2.98059165732755","3.28835681098636","3.58646744278374","4.0930961745995","3.99723996916282","3.22275453616995","3.20325095982709","3.32769245280765","3.29590753181349","3.74733667661436","4.12305733644763","4.59216735817088","5.12973340348614","5.75066696096252","6.70600276142274","7.247819830413","7.9486313554005","8.38444019338204","8.87808566762618","9.29961688396918","9.6384407769391","9.95350561694687","10.3626986444515","12.3770142532814","10.7731914782169","11.193102813643","13.2593993740856","11.4628667878235","15.9477042362499","17.1598237146145","","","",
"Andorra","AND","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","19.4780590725901","16.44843820862","20.0065595700968","19.866425611323","20.4655896174849","1.92762796246004","2.20286146549911","2.29274651384258","2.43829149860759","2.60408194716938","3.74994932323676","3.70821418462027","3.71445169724425","3.62645510419394","3.70072603151374","3.73701710339011","3.57782731395434","3.54739948839854","3.6575173563639","3.7212685908773","4.23644662273538","4.166422360288","5.69106964990297","5.9557867261836","5.96163777301832","5.9533357819173","6.05314424005504","6.16878109759289","6.27039228192594","6.28294037771428","6.88760549666557","6.95217614985646","6.94264500163504","7.31492117475877","7.98921391336889","8.40679248126801","8.89507771145036","9.32362094327494","9.87107313870671","9.97011720359783","10.479410938789","11.0853948414305","10.544243881033","10.8529775633566","11.8520285048511","12.4236814555754","12.6684801177774","11.6134410063134","12.3876443739588","11.3988904315295","11.3985575806931","11.9993029357315","","","",
"United Arab Emirates","ARE","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","","","","","133.112424174754","127.872175493404","110.226867549495","97.5888536706724","94.8199468852675","85.7604229257407","68.685964649869","67.1020629436185","61.9370019351723","66.1300473520754","82.4343030061035","81.2400377650783","82.0785775656889","81.2944466674259","85.0391874732286","88.8238702865858","86.0248061800414","85.8116371222128","79.8355139622073","76.6097196299251","85.8729631734712","88.6665314313958","92.5158206185044","102.568073862962","99.0976325997032","92.9257852387369","103.006963199173","107.274826803731","111.737231319017","106.881495893599","109.632750968192","117.571575787283","120.883378388192","128.244552560372","134.914613542679","145.51733352035","155.168045084426","161.039450385103","159.502151076109","165.098749688084","161.000695633612","173.928822149198","","","",
"Argentina","ARG","Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)","ER.GDP.FWTL.M3.KD","","","","","","","","","","","","","","","","","9.12714032684922","9.74183715796448","9.28554967702751","10.2157828022311","10.3517146796181","9.7963238409996","9.70629777565026","10.1097632635748","10.2495594505142","9.69996183717437","10.2778258876337","10.5366497890687","10.4027715275363","9.6404781037398","9.38573523223816","10.2242711632006","11.0157902943294","11.898278898103","12.5699346848483","12.1902691064611","12.7050657864999","13.5679610436057","13.9204768933834","13.2889915042598","13.0289343528443","12.187378594743","10.6315944036118","11.3331377969574","12.1074660389732","12.9188392708313","13.6880472595658","14.6374744881286","14.947307110728","13.805198935413","14.9297087427906","15.5458820383334","15.38631592527","15.7564066412087","15.360508753932","15.7800287984402","15.4517524655901","15.8872605689487","15.471427972778","15.1618662038854","13.6607679429044","15.0871996476536","","","",
